porcentaje,importancia,trimestre,ciudad
0.9684966016430917,3.444458648439112,Q1,Segovia
0.9752692878021277,3.125257923019712,Q2,Segovia
0.18946766837041795,4.228808370502229,Q3,Segovia
0.731569721761768,2.505705009993533,Q4,Segovia
0.7755523233516695,3.1552561633548835,Q1,Burgos
0.9189595956238775,2.682641967792489,Q2,Burgos
0.2959631618110792,3.1018120582348168,Q3,Burgos
0.5676422344974531,3.663379144733631,Q4,Burgos
0.35917365373655896,3.3361529364145337,Q1,León
0.5721901938899236,2.820839144624391,Q2,León
0.8801181633757512,3.7628652062460404,Q3,León
0.2963128722100842,3.9313512476461003,Q4,León
