altura,peso,edad
163.79282605947805,61.02758045051464,40
165.20152834588515,68.13497604920909,22
190.16574572979357,58.44078913774398,24
199.85794118119122,34.49180438510257,51
171.91214032187455,65.8462316739641,21
172.06065000091314,50.13005697817622,50
177.18705815626157,76.29587035387036,49
141.56218188261136,81.29923277639658,17
183.34919045048272,77.15554637824087,42
173.72772182066288,75.41403274859712,54
175.5192846434514,64.96875392384192,17
158.003778853386,78.2553935903376,31
160.63168287775812,50.69804918946416,46
165.11129521072775,49.183650869988426,32
167.42914121205965,61.74135622399759,37
179.19755341552536,32.758998987528436,54
164.32885808208806,73.09194572905265,29
180.14024632138853,54.73299830075191,56
188.60525864191555,76.80266664180932,39
176.79382779544858,72.39639539709673,30
190.70923635226862,61.53347964481027,36
202.15925409124876,81.46482763374107,27
155.87929709652235,58.52064086019795,56
143.7041099736726,83.31169635575836,38
163.3033246162186,79.18867080087372,19
148.11417145471543,71.20029582995497,55
133.10278311489378,58.07082304109099,52
159.04992341826843,54.213761548386586,23
200.88412489578002,55.55635317634242,29
192.47690613498554,52.876323414275035,42
